Kayıt No,Sıra No,Pm1,Pm2.5,Pm10,CO,CO2,CH2O,O3,No2,Voc,Sicaklik(°C),Nem(%),His. Sıcaklık(°C)
391059,371159,41,51,57,0.5,403,0.01,0.02,5.87,0,14.3,82,16
391058,371158,28,35,39,0.5,404,0.013,0.1,5.87,0,13.7,84,15
391057,371157,53,65,73,0.5,403,0.012,0.05,5.87,0,12.8,85,14
391056,371156,35,43,48,0.5,403,0.01,0.04,5.87,0,12.4,86,14
391055,371155,46,56,64,0.5,400,0.01,0.07,5.87,1,11.9,88,13
391054,371154,61,75,85,0.5,404,0.012,0.03,5.87,0,11.4,89,12
391053,371153,30,37,41,0.5,402,0.012,0.18,5.87,0,11.2,90,12
391052,371152,66,81,92,0.5,403,0.01,0.07,5.87,0,12.0,87,13
391051,371151,32,39,43,0.5,403,0.01,0.02,5.87,1,13.1,85,15
391050,371150,33,41,46,0.5,402,0.01,0.07,5.87,0,12.9,86,14
391049,371149,72,88,100,0.5,402,0.01,0.09,5.87,0,12.9,87,14
391048,371148,27,33,37,0.5,401,0.01,0.04,5.87,0,12.2,88,14
391047,371147,52,64,72,0.5,404,0.01,0.05,5.87,0,13.3,85,15
391046,371146,60,74,84,0.5,401,0.01,0.04,5.87,0,12.5,88,14
391045,371145,28,35,39,0.5,400,0.01,0.07,5.87,0,12.5,87,14
391044,371144,49,61,69,0.5,404,0.01,0.06,5.87,0,12.2,88,14
391043,371143,38,47,53,0.5,404,0.01,0.06,5.87,0,11.6,90,13
391042,371142,32,40,45,0.5,400,0.01,0.04,5.87,0,11.4,91,13
391041,371141,65,80,91,0.5,401,0.012,0.07,5.87,0,10.6,93,12
391040,371140,29,36,40,0.5,404,0.01,0.04,5.87,0,11.2,92,12
